id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,desciription,imageDescription
14,747 drink,Alcoholic,cocktail,highball glass,"Fill a Collins glass with ice. Pour in vodka, lime cordial, and cranberry juice. Fill up with Sprite. Garnish with a Lime wheel or some cranberries",https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg,"['vodka','roses sweetened lime juice','cranberry juice','top sprite']","['1 oz','1 oz','1 oz','to ones taste']","The 747 Drink is a contemporary twist on the classic Sour family, drawing inspiration from modern, layered cocktail trends. Its bright, fruity flavors are reminiscent of a tropical vacation, capturing the spirit of air travel with its whimsical name.","The cocktail features a deep red color, likely indicating the use of cherry or berry-infused spirits. A single maraschino cherry floats elegantly as a garnish on the rim of a clear rocks glass."
15,9 1/2 weeks,Alcoholic,cocktail,cocktail glass,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,"['orange juice','strawberry liqueur','orange curacao','absolut citron']","['1 oz','1 splash','1/2 oz','2 oz']","The 9 1/2 Weeks cocktail, with its citrusy base and fruit liqueurs, belongs to the?Sour family, a classic cocktail style originating in the 18th century. It likely emerged from the American bar scene, combining the tartness of citrus with the sweetness of liqueurs and the refreshing touch of fruit juice.","The cocktails present a vibrant coral hue, garnished with fresh strawberries and slices of lime, served in classic martini glasses, creating an inviting and refreshing presentation."
16,a1,Alcoholic,cocktail,cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,"['gin','grand marnier','lemon juice','grenadine']","['1 3/4 shot','1 shot','1/4 shot','1/8 shot']","Based on gin, the name of this cocktail, ��A1,�� signifies something of the very best quality (similar in meaning to ��XO��). It is said to embody connotations of being special, first-class, and noble. As a side note, thanks to its spelling, this cocktail is also famous for often being the first entry listed in cocktail dictionaries. It even makes an appearance in Volume 12 of the manga Bartender.","The cocktail in the image is a rich, golden-orange color, suggesting a mix of spices and fruit juices. The drink is served in a classic martini glass, rimmed with a delicate layer of what looks like salt or sugar crystals, enhancing its visual appeal and possibly offering a unique flavor profile."
17,abc,Alcoholic,shot,shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,"['amaretto','baileys irish cream','cognac']","['1/3','1/3','1/3']","Layer shot with Amaretto, Baileys and Cognac. The name is given by the first letter of each ingredient.","The layered cocktail features a creamy beige top, a dark red middle layer, and a clear base, served in a salt-rimmed shot glass."
18,ace,Alcoholic,cocktail,martini glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,"['gin','grenadine','heavy cream','milk','egg white']","['2 shots','1/2 shot','1/2 shot','1/2 shot','1/2 fresh']","The Ace is a delightful twist on the classic Clover Club, a gin-based cocktail that emerged in the late 19th century. It��s a member of the Sour family, known for its tangy and creamy character, but the Ace adds a touch of sweetness and richness with the grenadine and heavy cream.","The pink cocktail is served in a martini glass, featuring a smooth, frothy surface that enhances its delicate color. The drink_ vibrant hue suggests the inclusion of fruit or berry liqueur in its composition."
19,acid,Alcoholic,shot,shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,"['151 proof rum','wild turkey']","['1 oz bacardi','1 oz']","The name ""ACID"" highlights the use of pineapple juice and often lime to add a bright acidity to the otherwise herbal and sweet flavors of the drink. The cocktail can be served as a shot or a mixed drink and is known for its balancing combination of sweet, tropical, and herbal notes.","The glass of whiskey on ice exhibits a rich amber hue, the perfect color for a classic whiskey drink. The rocks glass, filled generously with ice cubes, provides a cool, clear contrast to the warm liquid beneath."
20,adam,Alcoholic,ordinary drink,cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,"['dark rum','lemon juice','grenadine']","['2 oz','1 oz','1 tsp']","The Adam belongs to the Sour family, a classic cocktail group characterized by the base spirit, citrus juice, and sweetener. Its origins remain obscure, but likely emerged in the early 20th century, possibly in the Caribbean where rum, lemons, and grenadine were readily available.","The cocktail is a vibrant golden-orange hue, garnished with three fresh lime slices arranged decoratively and a small, colorful cocktail umbrella for a playful touch. Served in a classic martini glass, it sits elegantly on a napkin atop a wooden surface."
21,at&t,Alcoholic,ordinary drink,highball glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,"['absolut vodka','gin','tonic water']","['1 oz','1 oz','4 oz']","The AT&T is a unique twist on the classic Gin & Tonic, belonging to the Highball family. Its origin is unclear, but the name likely references the telecommunications giant��s connection to gin, as it was once distributed by AT&T employees during the Prohibition era.","The cocktail appears to be a clear liquid with ice cubes and a slice of lemon on the rim for garnish, served in a highball glass placed on a textured mat."
22,a. j.,Alcoholic,ordinary drink,cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,"['applejack','grapefruit juice']","['1 1/2 oz','1 oz']","The A.J. is a classic highball, a refreshing blend of spirits and fruit juice. Its origins likely lie in the early 20th century, born from the desire for simple yet invigorating drinks, mirroring the popularity of the Tom Collins and other fruit-forward cocktails of the era.","The cocktail is a vibrant pink hue served in a classic martini glass, adorned with a fresh slice of lime as a garnish for a zesty finish."
23,avalon,Alcoholic,ordinary drink,highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,"['vodka','pisang ambon','apple juice','lemon juice','lemonade']","['3 parts','1 part','6 parts','1 1/2 part', none]","The Avalon falls into the Sour family, a classic cocktail category known for its balance of sweet, sour, and spirit. This tropical twist likely emerged from the modern cocktail scene, drawing inspiration from the exotic flavors of Pisang Ambon (banana) and the refreshing tartness of apple and lemon.","The cocktail features a vibrant green color, adorned with two fresh cucumber slices for garnish, presented in a highball glass filled to the brim with ice."
24,apello,Non alcoholic,other / unknown,collins glass,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,"['orange juice','grapefruit juice','apple juice','maraschino cherry']","['4 cl','3 cl','1 cl','1']","The Apello is a vibrant fruit punch, reminiscent of the classic Shirley Temple but with a more sophisticated twist. Its origins are likely rooted in the American home bar scene, emerging as a refreshing, non-alcoholic option for gatherings.","The vibrant orange juice cocktail sits elegantly in a highball glass, its golden hue glistening invitingly. The absence of garnish emphasizes the natural beauty of this refreshing drink."
25,affair,Alcoholic,ordinary drink,highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,"['strawberry schnapps','orange juice','cranberry juice','club soda']","['2 oz','2 oz','2 oz', none]","The Affair is a refreshing, fruit-forward cocktail that falls into the?highball?family. While its precise origin is unknown, its combination of fruit juices and a liqueur, like many highballs, likely emerged in the late 19th or early 20th century, a time when American bars embraced vibrant, fruity mixes.","The beverage has a vibrant orange hue, suggesting it is likely made from a combination of orange juice and cranberry juice. The drink is served in a tall, clear glass, with ice cubes floating near the top, adding to its refreshing appearance."
26,abilene,Alcoholic,ordinary drink,highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,"['dark rum','peach nectar','orange juice']","['1 1/2 oz','2 oz','3 oz']","The Abilene, with its rum base and fruity sweetness, belongs to the?tropical cocktail?family. Though its exact origin is unclear, its combination of dark rum, peach nectar, and orange juice likely emerged in the?mid-20th century, reflecting the growing popularity of tropical cocktails during that era.","The cocktail is served in a tall Collins glass filled with ice and a golden yellow beverage. A lemon slice garnishes the drink, adding a refreshing touch to its vibrant appearance."
27,almeria,Alcoholic,ordinary drink,cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,"['dark rum','kahlua','egg white']","['2 oz','1 oz','1']","Looking for an Espresso Martini recipe without espresso? Try the rich and creamy Almeria Cocktail! Made with 2 oz of dark rum, 1 oz of Kahlua, and an egg white, this delightful drink offers a smooth, coffee-like flavor without the need for espresso. The combination of dark rum and Kahlua brings out deep, bold notes, while the egg white adds a velvety texture that will elevate your cocktail experience. Perfect for those who love the essence of coffee in cocktails but want to skip the caffeine kick. Discover your new favorite espresso martini alternative with the Almeria Cocktail today!","The cocktails feature a rich, golden-brown color, possibly an Irish Cream Martini, presented elegantly in martini glasses that accentuate their smooth texture and inviting hue."
28,addison,Alcoholic,cocktail,martini glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,"['gin','vermouth']","['1 1/2 shot','1 1/2 shot']","The Addison is a classic Martini variation, likely hailing from the early 20th century. This gin-based cocktail is part of the Martini family, known for its dry, crisp flavor profile and elegant presentation.","The cocktail being poured into a clear coupe glass displays a rich golden hue, suggesting a fine brandy or cognac."
29,applecar,Alcoholic,ordinary drink,cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,"['applejack','triple sec','lemon juice']","['1 oz','1 oz','1 oz']","The Applecar, with its base of Applejack and citrus, belongs to the Sour family of cocktails. Its origin is likely a modern twist on classic sour recipes, incorporating the unique flavor of Applejack, a spirit distilled from apple cider.","The cocktail in the image is a vibrant orange color, likely an amaretto or brandy-based drink, served in a classic stemmed glass. It is garnished with a fresh slice of peach and a few peels, adding both visual appeal and a burst of freshness to the presentation."
30,acapulco,Alcoholic,ordinary drink,old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,"['light rum','triple sec','lime juice','sugar','egg white','mint']","['1 1/2 oz','1 1/2 tsp','1 tblsp','1 tsp','1','1']","The Acapulco is a refreshing twist on the classic Daiquiri family, with its base of rum, lime, and sugar. Though its exact origin is debated, it likely emerged in the mid-20th century, reflecting the growing popularity of Mexican-inspired cocktails.",The cocktail has a bright golden-yellow color and is served in a classic old-fashioned glass with ice cubes. A yellow-and-white straw adds a touch of charm to the drink's presentation.
31,affinity,Alcoholic,ordinary drink,cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,"['scotch','sweet vermouth','dry vermouth','orange bitters']","['1 1/2 oz','1 oz','1 oz','2 dashes']","Affinity belongs to the classic Manhattan family, with a unique twist. It��s a modern take on the timeless cocktail, incorporating both sweet and dry vermouth, adding complexity and depth to the traditional Scotch base.","The cocktail is a vibrant ruby red in color, garnished with a skewer of cherries that have been macerated and served in a classic martini glass."
32,aviation,Alcoholic,cocktail,cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,"['gin','lemon juice','maraschino liqueur']","['4.5 cl','1.5 cl','1.5 cl']","The Aviation, a gin-based cocktail, belongs to the Sour family, characterized by its tart, citrusy profile. Created in the early 20th century, this classic drink is often attributed to Hugo Ensslin, a renowned bartender at the Hotel Wallick in New York City.","The cocktail presents a deep purple hue with a striking dark cherry as a garnish, served in a classic martini glass."
33,after sex,Alcoholic,ordinary drink,highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,"['vodka','creme de banane','orange juice']","['2 cl','1 cl', none]",After Sex is a fruity and refreshing cocktail that is perfect for an intimate evening with your partner.,"The vibrant golden cocktail features a sprig of lavender as its elegant garnish, sitting atop clear ice cubes inside a tall highball glass, showcasing a refreshing and sophisticated look."
34,applejack,Alcoholic,cocktail,cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass",https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,"['jack daniels','midori melon liqueur','sour mix']","['1 oz','1/2 oz','2 oz']","The Applecar, with its base of Applejack and citrus, belongs to the Sour family of cocktails. Its origin is likely a modern twist on classic sour recipes, incorporating the unique flavor of Applejack, a spirit distilled from apple cider.","The cocktail has a rich amber hue and is garnished with a citrus peel and a piece of ginger. It is served in a classic rocks glass, which adds elegance to its presentation."
35,afterglow,Non alcoholic,cocktail,highball glass,Mix. Serve over ice.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,"['grenadine','orange juice','pineapple juice']","['1 part','4 parts','4 parts']","The Afterglow is a classic?tropical cocktail, a refreshing blend of sweet and tart flavors. While its exact origins are unclear, its simplicity and fruity profile point to its likely development in the 1920s-1930s, during the cocktail boom in the US and Caribbean.","The drink features a vibrant pink color, likely a strawberry or strawberry daiquiri, served in highball glasses adorned with ice cubes. Each glass is garnished with a slice of fresh orange for a pop of citrus flavor and a touch of elegance."
36,alexander,Alcoholic,ordinary drink,cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,"['gin','creme de cacao','light cream','nutmeg']","['1/2 oz','1/2 oz white','2 oz', none]","The Alexander, a creamy concoction of gin, cr?me de cacao, light cream, and nutmeg, belongs to the classic?cr?me de cacao?cocktail family. This elegant drink, born in the late 19th century, is believed to have originated in New York City, possibly at the famous Knickerbocker Hotel.","The cocktail is served in a martini glass, featuring a creamy white foam that covers its surface, decorated with a cinnamon stick and star anise for a touch of spice and elegance."
37,autodafe,Alcoholic,ordinary drink,highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,"['vodka','lime juice','soda water']","['4 cl','1 dash', none]",Autodafe is appealing average cocktail at 1 standard drinks. best with lunch. Just fill glass with ice cubes then add shot of vodka and pour in lime juice.,"The clear gin and tonic is garnished with a lime slice and two straws, sitting elegantly in a lowball glass atop a wooden bar."
38,allegheny,Alcoholic,ordinary drink,cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,"['dry vermouth','bourbon','blackberry brandy','lemon juice','lemon peel']","['1 oz','1 oz','1 1/2 tsp','1 1/2 tsp','1 twist of']","The Allegheny is a unique twist on the classic Sour family, drawing inspiration from the rich history of American cocktailing. While its origins are debated, it likely emerged in the early 20th century, showcasing the versatility of bourbon and the burgeoning popularity of blackberry brandy.","The cocktail is a vibrant pink, served in a martini glass with a gold-rimmed edge, adorned with a lemon twist garnish on the rim."
39,americano,Alcoholic,ordinary drink,collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,"['campari','sweet vermouth','lemon peel','orange peel']","['1 oz','1 oz red','twist of','twist of']","The Americano belongs to the?Aperitivo?family, a category of Italian cocktails designed to stimulate the appetite before a meal. It originated in?Milan, Italy, in the late 19th century, and its name is a nod to the popularity of American tourists who frequented its birthplace, the Caf? Campari.","The dark red cocktail in a highball glass features a slice of orange garnished with a few dried spices, adding both color and a touch of intrigue to its appearance."
40,b-52,Alcoholic,shot,shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,"['baileys irish cream','grand marnier','kahlua']","['1/3','1/3','1/4']","The B-52 (also B52 or Bifi or Bifty) cocktail is a layered shot composed of coffee liqueur (Kahl_a), Irish cream (Baileys Irish Cream), and Grand Marnier (in later versions replaced with triple sec or Cointreau). When prepared properly, the ingredients separate into three distinctly visible layers (due to their relative densities).","The cocktail is beautifully presented in two shot glasses, each containing three distinct layers: dark coffee-like liquid at the bottom, cream in the middle, and light brown topping, reminiscent of a Baileys or Irish Cream layering with espresso. The glasses sit on a glossy surface reflecting their contents, highlighting the clarity and color contrast between the three components."
41,b-53,Alcoholic,shot,collins glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,"['kahlua','sambuca','grand marnier']","['1/3 shot','1/3 shot','1/3 shot']","B-53 is a popular layered shooter that combines coffee liqueur, sambuca, and orange liqueur for a unique and flavorful experience. This cocktail is believed to have originated in the early 1980s in Banff, a town in the Canadian Rocky Mountains.","The cocktail is served in a martini glass, featuring a visually striking layering effect with vibrant blue smoke-like vapor rising from the top, creating an ethereal display of color and intrigue."
42,bijou,Alcoholic,cocktail,cocktail glass,Stir in mixing glass with ice and strain,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,"['orange bitters','green chartreuse','gin','sweet vermouth']","['1 dash','1 oz','1 oz','1 oz']","The Bijou is a captivating member of the?aromatic, herbal-forward cocktail family?reminiscent of the classic French 75. Its roots likely lie in the?early 20th century, born amidst the golden age of cocktails, where Chartreuse��s unique botanicals were embraced for their complexity.","The cocktail in a coupe glass boasts a rich amber hue, complemented by a lemon twist for a burst of citrus flavor."
43,boxcar,Alcoholic,ordinary drink,whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,"['gin','triple sec','lemon juice','grenadine','egg white']","['1 1/2 oz','1 oz','1 tsp','1/2 tsp','1']","The Boxcar, with its gin base, citrus acidity, and sweetness balanced by grenadine, falls firmly into the Sour family. Its origin remains shrouded in mystery, though it��s likely a modern creation, popularized in the mid-20th century, blending classic sour elements with a touch of sweetness.","The cocktail features a vibrant orange hue in a martini glass, elegantly rimmed with salt for a touch of sophistication. A small jar of salt sits nearby, emphasizing the cocktail's intricate presentation."
44,big red,Alcoholic,shot,shot glass,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,"['irish cream','goldschlager']","['1/2 oz','1/2 oz']","The Big Red is a creamy, sweet cocktail that falls into the liqueur-based family, reminiscent of Irish coffee with its combination of Irish cream and a spiced liqueur (Goldschlager).","The vibrant red beverage in a short, sturdy glass appears to be a classic Tom Collins, a refreshing cocktail perfect for warm days. The clarity of the liquid and the slight sheen suggest a mix of citrus and possibly sugar or syrup."
45,bellini,Alcoholic,ordinary drink,champagne flute,"Pour peach puree into chilled flute, add sparkling wine. Stir gently.",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,"['champagne','peach schnapps']","['6 oz','1 oz']","The Bellini, a vibrant pink delight, belongs to the Fizz family, characterized by its bubbly, refreshing nature. This classic Italian cocktail, created in the 1930s at Harry��s Bar in Venice, gets its name from the Venetian artist, Giovanni Bellini, due to its resemblance to his paintings.","The vibrant pink cocktail features a fresh raspberry and a mint leaf garnish, enhancing its visual appeal. Served in elegant champagne flutes, it looks perfect for a special occasion."
